"type","name_en","name_ko","category","subcategory","google_maps_url","naver_map_url","reason","neighborhood","district","lat","lng","priority"
"main","Songjuk","송죽","Restaurant","Abalone porridge","https://maps.app.goo.gl/9m15ewH6ELYWk3SdA","","Classic Korean abalone porridge spot beloved by locals. Comforting and nourishing — a perfect light meal.","Gwanghwamun","Jongno","37.5716","126.9768","1"
"main","Hwangsanga kalguksu","황생가칼국수","Restaurant","Kalguksu, Bossam","https://maps.app.goo.gl/15BADSmVPK9Z4tb66","","Hand-cut noodle soup and bossam in a traditional market vibe. Authentic and hearty.","Gwanghwamun","Jongno","37.5708","126.9754","1"
"main","Daeryeonjip","대련집","Restaurant","Kalguksu, Bossam","https://maps.app.goo.gl/F4fvtoPSDzG9pzCL8","","Warm and rustic kalguksu joint — thick handmade noodles in rich broth with bossam on the side.","Euljiro","Jung","37.5662","126.992","1"
"main","Jinju Hoegwan","진주회관","Restaurant","Soybean-guksu","https://maps.app.goo.gl/k8WLEwvyF7NyUFAx8","","Seoul institution for kongguksu (soybean noodle soup). A must-try summer classic since 1963.","Mugyo-dong","Jung","37.5683","126.9808","1"
"main","Manjok Ohyang Jokbal, City Hall Branch","만족오향족발 시청점","Restaurant","Korean pig feet ('jok bal')","https://maps.app.goo.gl/dNxJg5WUrhG4WrXN6","","Five-spice braised pig feet — crispy outside, tender inside. A beloved late-night Seoul staple.","City Hall","Jung","37.566","126.9784","1"
"main","Hyogye, Euljiro Branch","효계 을지로점","Restaurant","Rosted chicken","https://maps.app.goo.gl/kygdBAgJUSfzUhDL7","","Roasted whole chicken with a Korean twist. Juicy and flavorful, perfect with a cold beer.","Euljiro","Jung","37.566","126.9916","1"
"main","Onjium","온지음","Restaurant","Korean fine dining","https://maps.app.goo.gl/A3MwzrPvvUDtPnNb8","","Korean fine dining experience rooted in royal court cuisine. Elegant presentation and deep flavors.","Anguk","Jongno","37.5792","126.9853","1"
"main","Tosokchon Samgyetang","토속촌 삼계탕","Restaurant","Korean ginseng chicken soup ('Samgyetang')","https://maps.app.goo.gl/gEXtpU5jcDVAbdhc7","","Iconic samgyetang restaurant — ginseng chicken soup in a traditional hanok setting near Gyeongbokgung.","Gyeongbokgung","Jongno","37.5788","126.972","1"
"main","Imun Seolleongtang","이문설렁탕","Restaurant","Korean beef soup ('seoulleongtang')","https://maps.app.goo.gl/icaK5Rvzv5KYNwNn6","","One of Seoul's oldest restaurants (est. 1904). Rich milky ox-bone soup — a true taste of history.","Jongno 5-ga","Jongno","37.5714","127.0001","1"
"main","Miryang Son Mandu","밀양손만두","Restaurant","Dumpling","https://maps.app.goo.gl/hmjwD8xrUKJUnaBG8","","Handmade dumplings with thin skin and generous filling. A hidden local favorite.","Jongno","Jongno","37.571","126.989","1"
"main","Salt House Deli","소금집델리 안국","Restaurant","Sandwich (Jambon-Beurre)","https://maps.app.goo.gl/ZUsCCoCMqwRh37Ly5","","Artisan jambon-beurre sandwiches in the Anguk neighborhood. Simple, fresh, and perfectly made.","Anguk","Jongno","37.579","126.985","1"
"main","Myeonghwadang","명화당","Restaurant","Kim-bap(with tuna), Tteck-bokki","https://maps.app.goo.gl/xY7LAPeSYRFyAFTa6","","Old-school Korean snack shop for tuna kimbap and tteokbokki. Nostalgic and delicious street food.","Gwanghwamun","Jongno","37.572","126.976","1"
"main","Daejangjang-i Hwadeok Pizza","대장장이 화덕피자","Restaurant","Italian (Pizza)","https://maps.app.goo.gl/2TejWrW5ESkhWB4j7","","Wood-fired pizza with Korean craft. Crispy thin crust and creative toppings in a cozy setting.","Seochon","Jongno","37.578","126.969","1"
"main","Hongji Roast｜Korean BBQ｜グルメ ホンーじ ロース","홍지로스 본점","Restaurant","Korean BBQ pork belly, ('Samgyeopsal')","https://maps.app.goo.gl/VEdmyJf8uz7g58Ms7","","Sizzling samgyeopsal BBQ with quality pork cuts. Fun, lively Korean BBQ atmosphere.","Hongji-dong","Jongno","37.592","126.958","1"
"main","Kyochon 1991, Jongno No.1 Branch","교촌치킨 종로1호점","Restaurant","Korean fried chicken","https://maps.app.goo.gl/z59MjZ6HM9eYgR319","","Korea's signature fried chicken chain — crispy soy-garlic glaze. The Jongno flagship branch.","Jongno","Jongno","37.571","126.986","1"
"main","Sabal","사발","Restaurant","Modern Korean restaurant","https://maps.app.goo.gl/DefrWKQXmJ286uT17","","Modern Korean restaurant with creative interpretations of traditional dishes. Stylish and flavorful.","Seochon","Jongno","37.577","126.97","1"
"main","Kimjin Moksam","김진목삼","Restaurant","Korean BBQ (Pork)","https://maps.app.goo.gl/zfGBdUHQ5m6YH8BL7","","Tender Korean BBQ pork belly served thick-cut. Great quality meat with classic side dishes.","Gwanghwamun","Jongno","37.573","126.976","1"
"main","Hadongkwan","하동관","Restaurant","Korean beef soup ('Gomtang')","https://maps.app.goo.gl/1fduHgtDXbgVMs4L7","","Legendary gomtang (beef bone soup) since 1939. Rich, cloudy broth that defines Seoul comfort food.","Myeong-dong","Jung","37.5636","126.985","1"
"main","Oldies Taco","올디스타코","Restaurant","Taco","https://maps.app.goo.gl/Uxoe1ap75DvJ9SPQ8","","Fun fusion taco spot blending Korean and Mexican flavors. Casual and creative.","Seochon","Jongno","37.5785","126.9695","1"
"main","Jojo Kalguksu","조조칼국수","Restaurant","Kalguksu, Pajeon","https://maps.app.goo.gl/RSheSYGpkTWmu9Fz5","","Hearty kalguksu with crispy pajeon (green onion pancake). Homestyle and satisfying.","Jongno","Jongno","37.57","126.988","1"
"main","Onmigwan, Anguk Branch","온미관 안국","Restaurant","Korean barvequed stew ('Bulgogi')","https://maps.app.goo.gl/BevuLuwCF4JUFWRf9","","Premium bulgogi stew in a refined setting. Tender marinated beef with rich, savory broth.","Anguk","Jongno","37.5798","126.984","1"
"main","Aino Garden Kitchen","아이노가든 키친","Restaurant","Modern Korean Home-Style Meals","https://maps.app.goo.gl/svCRndbFUrgJhYYK8","","Modern Korean home-style meals with a garden café atmosphere. Warm and inviting.","Anguk","Jongno","37.58","126.9855","1"
"main","Cheong Wa Ok","청와옥 을지로3가직영점","Restaurant","Blood sausage soup ('Soondae Gukbap')","https://maps.app.goo.gl/sCfzsZWP3znBPh9GA","","Rich and hearty sundae gukbap (blood sausage soup). A beloved Euljiro local staple.","Euljiro 3-ga","Jung","37.566","126.992","1"
"main","Doughroom, Gwanghwamun","도우룸 광화문","Restaurant","Italian","https://maps.app.goo.gl/VXnfa2Bk9kTsJz2k7","","Artisan Italian with fresh handmade pasta and bread. A polished dining experience.","Gwanghwamun","Jongno","37.572","126.977","1"
"main","Seoul Gypsy Fermenteria, Seochon Branch","서울집시 퍼멘테리아 서촌","Restaurant","Italian pizza and beer","https://maps.app.goo.gl/tyeGWzdwe5mRLfCY9","","Craft fermented pizza and natural beer in a charming Seochon alley. Unique and delicious.","Seochon","Jongno","37.578","126.968","1"
"main","Namdo Bokguk, Jangchung Branch","남도복국 서울 장충동점","Restaurant","Puffer Fish Soup ('Bokguk')","https://maps.app.goo.gl/dxB9MAdmKfucJLqy8","","Hearty puffer fish soup known for its clean, warming broth. A specialty from Korea's south coast.","Jangchung-dong","Jung","37.559","127.005","1"
"main","Jeongji: the kitchen","정지더키친","Restaurant","Italian","https://maps.app.goo.gl/o1sbHL3y8oRTMwLbA","","Italian-Korean fusion in a refined atmosphere. Creative dishes with quality ingredients.","Anguk","Jongno","37.5785","126.9835","1"
"main","Horapa","호라파","Restaurant","Thai","https://maps.app.goo.gl/d4Gpq2LemRWu4DhN9","","Authentic Thai cuisine in the heart of Seoul. Fresh flavors and vibrant dishes.","Jongno","Jongno","37.5725","126.987","1"
"main","Gaga","가가","Restaurant","Korean Dining with wine","https://maps.app.goo.gl/8MpZFGXur6xGFwcR8","","Upscale Korean dining paired with natural wines. An intimate and sophisticated experience.","Seochon","Jongno","37.5775","126.971","1"
"main","Doma, Insadong Branch","도마 인사동점","Restaurant","Korean Clay Pot Rice ('Sotbap')","https://maps.app.goo.gl/iS4QsX9rPeeWduXNA","","Clay pot rice (sotbap) cooked to order with seasonal toppings. Crispy nurungji at the bottom is the highlight.","Insadong","Jongno","37.574","126.9855","1"
"main","Pungnyeon Dakdoritang, Main Branch","풍년닭도리탕 본점","Restaurant","Korean Spicy Braised Chicken ('Dakdoritang')","https://maps.app.goo.gl/6kkpCkmhnV7vq44g6","","Spicy braised chicken stew bursting with flavor. A local comfort food classic.","Jongno","Jongno","37.5705","126.988","1"
"main","Eomuljeon Cheong, Hannam Braunch","어물정 천 한남점","Restaurant","Korean Set Menu Dining","https://maps.app.goo.gl/6rfr1uNUz496cDtGA","","Refined Korean set menu dining with seasonal fish dishes. Elegant and carefully curated.","Hannam-dong","Yongsan","37.534","127.0","1"
"main","Hani Kalguksu","하니칼국수","Restaurant","Kalguksu","https://maps.app.goo.gl/SWGHvntGGW85xSti9","","Simple, honest kalguksu — handmade noodles in a rich anchovy broth. Pure comfort.","Jongno","Jongno","37.5715","126.987","1"
"main","Dochwi Hanok Restaurant","도취 하녹식당","Restaurant","Korean Set Menu Dining","https://maps.app.goo.gl/cZpSPnLrs2747FN76","","Korean set menu in a beautifully restored hanok. Traditional atmosphere with quality dishes.","Bukchon","Jongno","37.582","126.984","1"
"main","Sohojeong, Main Branch","소호정 본점","Restaurant","Kalguksu","https://maps.app.goo.gl/6HRPdpi1cmuyGNBR7","","Premium kalguksu with a clean, deep broth. One of the best noodle experiences in Seoul.","Gwanghwamun","Jongno","37.573","126.975","1"
"main","Baeknyeonok","백년옥","Restaurant","Tofu-focused Korean Dishes","https://maps.app.goo.gl/1F8MHvbUdbJQFnwt9","","Century-old tofu restaurant. Silky fresh tofu and clean-flavored Korean dishes.","Gwanghwamun","Jongno","37.5725","126.9735","1"
"main","Gulbatjip","굴밭집","Restaurant","Oyster-Based Korean Rice Dishes","https://maps.app.goo.gl/q2tyjkT1BX6GGy2h8","","Oyster rice and oyster soup from fresh seasonal oysters. A cozy winter gem.","Gwanghwamun","Jongno","37.5718","126.9748","1"
"main","Jeongdong Guksi","정동국시","Restaurant","Kalguksu","https://maps.app.goo.gl/fHJ6rDuTFXDSDH489","","Elegant kalguksu near Deoksugung Palace. A warm bowl in a historically rich neighborhood.","Jeongdong","Jung","37.5662","126.974","1"
"main","Rodem namu","로뎀나무","Restaurant","Tteok-bokki","https://maps.app.goo.gl/oX7TCobZABx3tbHJ7","","Nostalgic tteokbokki with a homemade taste. A sweet and spicy street-food classic done right.","Jongno","Jongno","37.57","126.986","1"
"main","Bossam","이조보쌈","Restaurant","Tteok-bokki","https://maps.app.goo.gl/4GjdfyitwNFDkPwN6","","Tender boiled pork bossam with fresh kimchi wraps. A timeless Korean drinking-food pairing.","Jongno","Jongno","37.5705","126.9865","1"
"main","Cafe Dalgak, Chungmuro","충무로 한옥카페 달강","Cafe & Bakery","Hanok Cafe","https://maps.app.goo.gl/EcAfDXbHZWYF8Jey8","","Charming hanok café tucked in Chungmuro. Traditional Korean architecture meets modern café culture.","Chungmuro","Jung","37.561","126.9945","1"
"main","Cafe Cordialement","카페 꼬르지엘모","Cafe & Bakery","Hanok Cafe","https://maps.app.goo.gl/hBwy3sjEXBP4qV8y6","","A hidden hanok café with European-inspired pastries. Quiet courtyard seating in a traditional house.","Bukchon","Jongno","37.5815","126.9845","1"
"main","Osulloc Tea House, Bukchon Branch","오설록 티하우스 북촌점","Cafe & Bakery","Korean Tea House (Jeju green tea and refined tea desserts)","https://maps.app.goo.gl/86UFnQavz67Pm3au5","","Jeju green tea and refined tea desserts in a beautifully designed space. Korea's tea culture at its best.","Bukchon","Jongno","37.5825","126.9835","1"
"main","Twelve, Namsan Branch","트웰브 남산점","Cafe & Bakery","A stylish European-inspired café near Namsan with quality desserts and coffee.","https://maps.app.goo.gl/fjHU2fskVidcZSUMA","","A stylish European-inspired café near Namsan with quality desserts and sweeping city views.","Namsan","Yongsan","37.553","126.988","1"
"main","Coffee & Cigarette","커피앤시가렛","Cafe & Bakery","City View Coffee & Lounge","https://maps.app.goo.gl/mgvkUW8QmfvLDzy77","","Rooftop coffee lounge with expansive city views. Industrial chic meets panoramic Seoul skyline.","Euljiro","Jung","37.5665","126.993","1"
"main","Onion, Anguk Branch","어니언 안국","Cafe & Bakery","Hanok Bakery Cafe","https://maps.app.goo.gl/iNHLzT1CMBFWrhxr5","","Iconic bakery café in a renovated hanok. Famous for pastries and a beautiful fusion of old and new.","Anguk","Jongno","37.5802","126.9848","1"
"main","Hoewa namu","회화나무","Cafe & Bakery","A view overlooking Changdeokgung Palace","https://maps.app.goo.gl/fZgrEsFuq7kB5zMd9","","A café with a direct view overlooking Changdeokgung Palace. History and coffee in one serene spot.","Bukchon","Jongno","37.582","126.987","1"
"main","TYPE, Hangang Branch","TYPE 한강점","Cafe & Bakery","A panoramic views of the Han River","https://maps.app.goo.gl/nLkFpZA2UP6DBqc97","","Panoramic Han River views from a spacious modern café. Perfect for sunset watching.","Hangang","Yongsan","37.528","126.967","1"
"main","Inwangsan Daechung Yuwonji","인왕산 대충유원지","Cafe & Bakery","A panoramic view of Inwangsan mountain","https://maps.app.goo.gl/Mw26db9nVmDZkXfYA","","Quirky hilltop café with a retro amusement park theme and sweeping Inwangsan mountain views.","Buam-dong","Jongno","37.588","126.962","1"
"main","Bukchon Lounge Chacha Tea Club","북촌라운지 차차티클럽","Cafe & Bakery","A refined hanok lounge where each group enjoys their own quiet space","https://maps.app.goo.gl/qgzbJaUkEotjqLsG6","","A refined hanok tea lounge where each group enjoys their own quiet space. The most serene café in Bukchon.","Bukchon","Jongno","37.583","126.984","1"
"main","Gaeppeul","개뿔","Cafe & Bakery","A panoramic views of the Euljiro and Jongno","https://maps.app.goo.gl/hJJ15D4J5MbmcneQ7","","Rooftop café with sweeping views across Euljiro and Jongno. A hidden viewpoint locals love.","Euljiro","Jung","37.5665","126.9915","1"
"main","Heejak","희작","Cafe & Bakery","A nature-surrounded café on a hillside, offering open view of Inwangsan mountain","https://maps.app.goo.gl/VRmmJJuWXUyC8w8N","","Hillside café surrounded by nature with wide-open views of Inwangsan mountain. Breathtaking on a clear day.","Buam-dong","Jongno","37.5905","126.9625","1"
"main","Comfortable, Namsan","콤포타블 남산","Cafe & Bakery","Open views of Namsan and central Seoul","https://maps.app.goo.gl/2NatmY24dSakXdJt9","","Café near Namsan Library with open views of central Seoul. At 9 PM, all lights go off for a stunning night view.","Namsan","Yongsan","37.551","126.987","1"
"main","Tellus 9.5","텔러스 9.5","Bar","Overlooking northern Seoul from Gangnam","https://maps.app.goo.gl/Kycoqkh8uBFgpCAQ7","","A sophisticated rooftop bar in Gangnam overlooking northern Seoul. Dramatic skyline and cocktails.","Gangnam","Gangnam","37.5065","127.028","1"
"main","Paris Bar, Grand Hyatt Seoul","그랜드 하얏트 서울 파리스바","Bar","A classic hotel bar with a timeless, elegant mood","https://maps.app.goo.gl/YUwE9dtogmtHKP8LA","","A classic hotel bar with timeless elegance and a sweeping view of the city from Namsan hillside.","Itaewon","Yongsan","37.538","126.998","1"
"main","Charles H., Four Seaons Seoul","찰스 H.","Bar","A refined speakeasy cocktail bar","https://maps.app.goo.gl/XGFpLnbaFo7F1m9c7","","Refined speakeasy cocktail bar inside Four Seasons Seoul. World-class mixology in an intimate setting.","Gwanghwamun","Jongno","37.572","126.976","1"
"main","Ace Four Club","웨스트윙 에이스포클럽","Bar","A true Euljiro-style bar with a raw, local vibe","https://maps.app.goo.gl/Sscsuf2gwpm1FaXN9","","A raw, authentic Euljiro-style bar with local character. The real deal for Seoul nightlife culture.","Euljiro","Jung","37.566","126.991","1"
"hidden_gem","Hanmoechon","한뫼촌","Restaurant","Hanok Hanjeongsik (Course)","https://www.google.com/maps/place/%ED%95%9C%EB%AB%BC%EC%B4%8C/data=!4m6!3m5!1s0x357ca2c4c64d0f69:0x45f241c2a93b7225!8m2!3d37.5789332!4d126.985543!16s%2Fg%2F1th59jcd","https://naver.me/5OGyHQn4","A traditional Korean hanok house turned fine-dining restaurant with a small courtyard. Originally the historic home of legendary dancer Choe Seung-hui. The refined, authentic Korean course meals never disappoint — even a foreign friend loved it so much she returned on her next Seoul trip.","Bukchon","Jongno","37.5789332","126.985543","1"
"hidden_gem","Gukhwa Jeongwon","국화정원","Restaurant","Hanok Hanjeongsik (Course)","https://www.google.com/maps/place/%EA%B5%AD%ED%99%94%EC%A0%95%EC%9B%90/data=!3m1!4b1!4m6!3m5!1s0x357cbd294756d9d1:0xb963f224133edb59!8m2!3d37.5945261!4d126.9926888!16s%2Fg%2F1td4bhm6","https://naver.me/FJ6WozBj","Famous for marinated soy crab (ganjang-gejang) course in the quiet Seongbuk-dong neighborhood. Elegant Korean cuisine in a serene setting. Nearby 'Seonjam' café and the legendary 'Seongbuk-dong Nurungji Baeksuk' are within walking distance.","Seongbuk-dong","Seongbuk","37.5945261","126.9926888","1"
"hidden_gem","Pilgyeongjae","필경재","Restaurant","Hanok Hanjeongsik (Grand)","https://www.google.com/maps/place/%ED%95%84%EA%B2%BD%EC%9E%AC/data=!3m1!4b1!4m6!3m5!1s0x357ca5daf37f0d5f:0x52178156ad695b76!8m2!3d37.484918!4d127.0951592!16s%2Fg%2F1hc5pn8hx","https://naver.me/59UzTWCS","A 500-year-old historic estate built by a descendant of King Sejong's fifth son. The largest-scale hanok hanjeongsik experience — each group is served in their own private hanok room. The spacious traditional garden is perfect for a stroll. Nearby: 'Singmulgwan PH', a botanical garden-themed café.","Suseo","Gangnam","37.484918","127.0951592","1"
"hidden_gem","Dongbyeongsangryeon","동병상련","Cafe & Bakery","Traditional Korean Dessert Cafe","https://www.google.com/maps/place/%EB%8F%99%EB%B3%91%EC%83%81%EB%A0%A8/data=!3m1!4b1!4m6!3m5!1s0x357cbce19ff636f7:0xadbe5a25e28e9dbc!8m2!3d37.5760329!4d126.9957973!16s%2Fg%2F1td51csp","https://naver.me/FdGt0Cpo","Run by a certified artisan (Intangible Cultural Heritage holder) of royal Korean confections. Every rice cake and hangwa is genuinely delicious. Don't miss the injeolmi croissant near the counter. Beautiful interior and a lovely terrace in spring. Enter from the side stairway, not the front.","Anguk","Jongno","37.5760329","126.9957973","1"
"hidden_gem","Bukchon Lounge Chacha Tea Club","북촌라운지 차차티클럽","Cafe & Bakery","Hanok Tea Lounge","https://maps.app.goo.gl/qgzbJaUkEotjqLsG6","https://naver.me/GXqBQA39","The most serene hanok café in Bukchon. Each group gets their own private room with tea served on a traditional tray. The stone-wall-facing toenmaru (wooden porch) seats are magical. Unlike most noisy Bukchon cafés, this one is genuinely quiet. Tip: if floor seating is uncomfortable, choose the toenmaru instead.","Bukchon","Jongno","37.583","126.984","1"
"hidden_gem","Heejak","희작","Cafe & Bakery","Mountain View Cafe","https://maps.app.goo.gl/VRmmJJuWXUyC8w8N","https://naver.me/xNm021Xi","Perched high in Buam-dong with a wide-open view of Inwangsan mountain. Foreigners are often amazed that Seoul — a capital city — is surrounded by mountains. On a clear day, the panoramic view here is breathtaking.","Buam-dong","Jongno","37.5905","126.9625","1"
"hidden_gem","Comfortable Coffee, Namsan","콤포타블 커피 남산점","Cafe & Bakery","Night View Cafe","https://maps.app.goo.gl/2NatmY24dSakXdJt9","https://naver.me/GJFnAvIs","A café near Namsan Library with stunning city views. The highlight: at exactly 9 PM, all interior lights are turned off, and the Seoul night skyline comes alive through the windows. A truly romantic moment for those seeking it.","Namsan","Yongsan","37.551","126.987","1"
"hidden_gem","THE 22 Namdaemun Bakery","THE 22 남대문 베이커리","Cafe & Bakery","Afternoon Tea Set","https://www.google.com/maps/place/THE+22+NAMDAEMUN+BAKERY+%26+BAR/data=!4m10!1m2!2m1!1zVEhFIDIyIOuCqOuMgOusuCDrsqDsnbTsu6Trpqwg7L2U7Yq47JW865OcIOuplOumrOyWtO2KuCDshJzsmrg!3m6!1s0x357ca3c17523b473:0x2ae6df87b2c46e6!8m2!3d37.5611705!4d126.9769628","https://naver.me/5HrKNouR","Located on the 22nd floor of Courtyard Marriott Seoul Myeongdong, this café serves afternoon tea on najeonchilgi (mother-of-pearl lacquerware) gujeolpan plates. Panoramic views of Namsan Tower, Namdaemun Gate, and the traditional market below. Reservation required for the afternoon tea set.","Namdaemun","Jung","37.5611705","126.9769628","1"
